Sentiment,Phrase
NEGATIVE,Muy aburrida la clase siempre con presentaciones muy largas.
NEGATIVE,La clase es tediosa y el profesor no sabe como explicar los temas.
NEGATIVE,Las clases son muy tediosas ya que solo usa diapositivas para su explicación.
NEGATIVE,El profesor es decepcionante y forma de evaluar y es bastante bipolar a la hora de tratar a los estudiantes.
POSITIVE,Es una buena persona y su desempeño en clase es excelente.
NEGATIVE,Muy tediosas las clases y las explicación es muy confusa.
NEGATIVE,No cumple con las fechas del cronograma para evaluaciones.
NEGATIVE,Los tiempos de sus clases son muy cortos y lo desaprovecha platicando.
NEGATIVE,El profesor no entrego un cronograma y las evaluaciones no tienen fechas fijas.
NEGATIVE,No cumple con la planeación de la clase.
NEGATIVE,El profesor hace sus clases muy pesadas y sus clases no son nada dinámicas.
POSITIVE,El profesor fomenta el aprendizaje
NEGATIVE,No cumple con las fechas del cronograma para evaluaciones.
NEGATIVE,El profesor no va a clases y por eso hay muchas dudas
NEGATIVE,Los tiempos de sus clases son muy cortos y lo desaprovecha platicando.
NEGATIVE,Una mala maestra no existe comunicación y no logra que el grupo aprenda los temas.
NEGATIVE,"Debería de respetar las horas de salida, ya que siempre finaliza después de clases"
NEGATIVE,El maestro no organiza al grupo y el desorden es demasiado notable.
NEGATIVE,El maestro nos deja ejercicios que no son de nuestro nivel.
POSITIVE,"Dominio total del tema, explica de forma excelente, he aprendido mucho"
NEGATIVE,Le falta dominio hacia sus alumnos ya que algunos no ponen atención y les vale.
NEGATIVE,A LA MAESTRA LE FALTA EXPLICARNOS UN POCO MAS SOBRE LOS TEMAS QUE NO SE ENTIENDEN RÁPIDAMENTE Y SOLUCIONAR DUDAS.
NEGATIVE,No respeta el horario de entrada ni de salida.
NEGATIVE,En su clase me aburro y el profesor no impone autoridad.
POSITIVE,SIEMPRE CON ACTIVIDADES GENIALES DE LA MATERIA.
NEGATIVE,El profesor no prepara sus clases ya que todo lo hace improvisado.
NEGATIVE,Sus clases son muy agotadoras y no son de manera eficiente.
NEGATIVE,El profesor falta mucho sin avisar al grupo.
NEGATIVE,No es perseverante en sus explicaciones y no tiene control del grupo.
NEGATIVE,Debería fomentar mas el aprendizaje y no aprender solo teoría.
NEGATIVE,Es un maestro malísimo y en su clase no se aprende mucho.
NEGATIVE,considero que el profesor no sabe dar clases y no sabe nada de la materia que esta impartiendo
NEGATIVE,Considero que el profesor tiene falta de experiencia y duda de sus explicaciones.
NEGATIVE,A este profesor le falta mas experiencia al momento de dar clase
NEGATIVE,Debería de fomentar mas la participación en la clase.
NEGATIVE,hace falta retroalimentación de examenes.
NEGATIVE,La mayoría de las veces no se le entiende a sus explicaciones.
NEGATIVE,Todas las clases son monótonas y eso es muy cansado.
NEGATIVE,No prepara sus clases y tarda en explicar los temas.
NEGATIVE,El profesor siempre muestra una actitud de enojo.
POSITIVE,Es incumplido en asistir a clases y en el horario.
NEGATIVE,Debería de ser proactivo en sus clases y aprovechar mas sus clases.
NEGATIVE,Tiene preferencia con algunos alumnos y eso me molesta.
NEGATIVE,El profesor es algo irrespetuoso en ciertas ocasiones.
NEGATIVE,Es irrespetuoso con la mayoría de las personas y en ocasiones dice groserías.
NEGATIVE,"La forma en la que enseña no es la apropiada, ya que siempre tenemos dudas y siempre se molesta."
NEGATIVE,"Creo que no tiene total dominio de los temas, me he percatado que no trae preparadas las clases."
NEGATIVE,Se molesta cuando se le pide que explique algo y no es capaz de establecer el orden.
NEGATIVE,"Sus clases son horriblemente tediosas y aburridas, no exige y no querer ni aclarar las dudas."
NEGATIVE,No sabe explicar los temas de clase y eso es absurdo.
POSITIVE,El maestro se exalta cuando recibe una opinión sobre su clase y además es una persona déspota.
NEGATIVE,No respeta los horarios de entrada de la clase.
NEGATIVE,Muy mal profesor y muy arbitraria además abusa de su poder.
NEGATIVE,Considero que no tiene un total dominio del tema.
NEGATIVE,Intentamos aclarar una dudas pero la maestra no ayuda ni explica nada.
NEGATIVE,"Pésima maestra se nota que es primeriza, no sabe escuchar."
NEGATIVE,Utiliza herramientas que nunca no ha enseñado a utilizar.
NEGATIVE,Estoy inconforme con su manera de evaluar ya que siempre la adapta.
NEGATIVE,Mal profesor y le falta mas explicación.
NEGATIVE,NO IMPARTE PUNTUALMENTE LAS CLASES ADEMÁS SUS CLASES NO SON COMPLETAS.
NEGATIVE,No proporciona ponderaciones de los trabajos ya que falta uso de rubrica
NEGATIVE,Conoce de los temas pero sus clases son muy tediosas y propician el desorden.
NEGATIVE,"No impone disciplina, por este motivo no tienen la capacidad de controlar al grupo completo."
NEGATIVE,le falta aclarar de una manera mas adecuada las dudas.
NEGATIVE,En ocaciones se expresa mal hacia los alumnos siendo irrespetuosa.
NEGATIVE,Solo copia y pega información en una presentación y esa es su detestable clase.
NEGATIVE,No conoce muy bien los temas que imparte por este motivo no estamos aprendiendo.
NEGATIVE,No es muy buena la clase y su actitud no es la adecuada cuando los alumnos tienen dudas.
NEGATIVE,Considero que el profesor no logra transmitir sus conocimientos adecuadamente.
NEGATIVE,"DE LOS PEORES PROFESORES QUE HE CONOCIDO, NI SIQUIERA ES PUNTUAL."
NEGATIVE,No sabe nada de la clase y solo copia ejercicios de los libros.
NEGATIVE,Una lástima tener un profesor tan mediocre.
NEGATIVE,El profesor no cumple su función de enseñar mas bien le interesa solo socializar.
NEGATIVE,"La clase es aburrida el profesor debería de usar material diferente como diapositivas, videos entre otros."
NEGATIVE,Las clases son tediosas y la interacción con los alumnos es mínima .
NEGATIVE,considero que debe ejercer mayor presencia en el grupo ya los alumnos se distraen con el desorden.
POSITIVE,Las clases son muy interesantes y divertidas.
POSITIVE,Tiene mucha interacción con la clase y es dinámico.
POSITIVE,El profesor imparte una buena explicación dentro de la clase.
POSITIVE,La maestra explica correctamente usando ejemplos prácticos sobre la materia.
POSITIVE,Es una excelente maestra siempre cumple los objetivos de la clase.
POSITIVE,Muy buena maestra ya que es de los pocos que dominan los temas completamente.
POSITIVE,ha sido muy bueno el curso y he aprendido bastante gracias al maestro.
POSITIVE,Su forma de explicar es muy clara y entendible.
POSITIVE,Es una maestra que logra captar la atención de sus alumnos para proporcionar sus conocimientos.
POSITIVE,ha sido muy bueno el curso y he aprendido bastante gracias al maestro.
POSITIVE,Su forma de explicar es muy clara y entendible.
POSITIVE,"Excelente clase, me gusta mucho su forma de trabajar y enseñar."
POSITIVE,El maestro imparte una clase de calidad.
POSITIVE,es respetuoso y congruente además de tener una excelente comunicación con el grupo.
POSITIVE,Es muy buen profesor y nos tiene mucha paciencia.
POSITIVE,ME GUSTA MUCHO LA SERIEDAD CON LA QUE TOMA LAS CLASES.
POSITIVE,El desempeño del profesor es perfecto y se adapta al grupo.
POSITIVE,BUEN PROFESOR EXPRESA MUY BIEN SUS CONOCIMIENTOS
POSITIVE,"TODAS LAS CLASES SON MUY BUENAS, EN CUANTO A ENSEÑANZA E INTERACCIÓN"
POSITIVE,Permite cada día mejorar gracias a sus explicaciones.
NEGATIVE,TE DA SEGURIDAD DEL APRENDIZAJE YA QUE CONOCE DEL TEMA.
POSITIVE,El profesor es muy bueno en su campo y sabe tratar a sus alumnos.
POSITIVE,su clase me resulta fascinante en mi opinion me agrada la manera de impartir la clase.
POSITIVE,"Buen maestro, se lleva una clase cómoda sin estrés con él."
POSITIVE,La forma de evaluar esta muy bien para mi.
POSITIVE,"Excelente maestra, es amable y accesible."
POSITIVE,"El profesor es muy buen maestro, nos imparte sus conocimientos adecuadamente."
POSITIVE,Creo que la profesora es una maestra muy agradable y logra un interés en la clase.
POSITIVE,Indudablemente es un tema que a ella le apasiona y me agrada que tenga una idea de lo que esta hablando.
POSITIVE,"Me agrada la actitud hacia sus alumnos, permite sentirse en confianza."
POSITIVE,La maestra me motiva y con ella he desarrollado aptitudes interesantes.
POSITIVE,Son clases muy divertidas e interesantes además el profesor es muy respetuoso.
POSITIVE,El tiempo de clase se pasa muy rápido ya que los temas son interesantes.
POSITIVE,Tiene mucha experiencia y puedo aprender mucho de el.
POSITIVE,Es una persona muy capaz y hábil para enseñar.
POSITIVE,El profesor logra motivar con su actitud a sus los alumnos.
POSITIVE,ME ENCANTAN LAS CLASES ES MUY POSITIVA Y CON BUENA ACTITUD.
POSITIVE,El profesor imparte de forma correcta la disciplina y permite el tabajo en equipo.
POSITIVE,Es un maestro que fomenta el respeto y siempre esta dispuesto a trabajar.
POSITIVE,El profesor fomenta el respeto en todas sus clases.
POSITIVE,Buen dominio y control total de la materia.
POSITIVE,El profesor es respetuoso y atento con el grupo.
POSITIVE,Es un buen maestro no es monótono y eso es agradable.
NEGATIVE,Esta clase me provoca ser participativo.
POSITIVE,"Es un excelente maestro, uno de los mejores que he tenido."
POSITIVE,"Excelente profesor, sin duda uno de los mejores con los que cuenta esta institución"
POSITIVE,"muy buen maestro, sabe dar clases y aporta cada uno de sus conocimientos a los alumnos ."
POSITIVE,Demuestra el dominio en cada uno de los temas y hace muy didáctica su clase.
POSITIVE,una gran persona que siempre expone de manera clara sus clases .
POSITIVE,el maestro sin duda tiene un dominio de la clase.
POSITIVE,Es muy buen maestro y sus clases son claras y participativas.
POSITIVE,"Muy buen profesor, domina sus temas y aclara dudas de aplicaciones industriales."
POSITIVE,Sus clases son interactivas y aprendo mucho con su forma de enseñar.
POSITIVE,El profesor da ejemplos prácticos donde podemos observar la teoría que nos enseña.
POSITIVE,es un exelente profesor que preocupa por nuestro aprendizaje.
POSITIVE,"Excelente docente, domina los temas y una clase muy entretenida"
POSITIVE,es un profesor muy bueno para exponer temas teóricos y lo práctico
POSITIVE,Fomenta la autocrítica y el buen desempeño.
POSITIVE,El profesor nos ayuda con atención y dedicación a cada uno de sus alumnos.
POSITIVE,es buen profesor y respeta el calendario de la materia.
POSITIVE,Le gusta enseñar las clases con pasión y alegría.
POSITIVE,considero que el maestro evalúa de forma correcta e imparcial.
POSITIVE,El profesor ha tomado en cuenta nuestras opiniones y nos hace reforzar nuestras habilidades.
POSITIVE,Logra transmitir su conocimiento a los alumnos de una manera eficiente.
POSITIVE,Explica los temas de una manera fácil y practica de entender.
POSITIVE,"El maestro es muy bueno al impartir la clase, es de los pocos maestros que traen preparada la clase."
POSITIVE,"Excelente maestro, muy serio y centrado."
POSITIVE,"Un profesor excelente y bien preparado, se ve que sabe mucho pero a parte de eso sabe enseñar."
POSITIVE,Me gusta su manera de exigirnos responsabilidad.
POSITIVE,"La retroalimentación siempre es parte de la clase del maestro, eso es muy bueno."
POSITIVE,"Clases bastante completas, siempre informa acerca de todos los instrumentos de evaluación."
POSITIVE,A la maestra hay que felicitarla por su esfuerzo y empeño por que aprendamos.
POSITIVE,"Sus conocimientos son destacables, conoce perfectamente su materia."
POSITIVE,Es un profesor que fomenta el dinamismo para demostrar el aprendizaje.
POSITIVE,"El profesor cuenta con criterio y conocimiento del tema, es capaz de aclarar todas las dudas."
POSITIVE,Invierte mucho empeño en transmitir sus conocimientos y además resuelve dudas de una manera respetuosa.
POSITIVE,Un profesor que en verdad vale la pena dentro de la universidad.
POSITIVE,"Un gran maestro, he logrado un mayor desarrollo en mi vida profesional."
POSITIVE,Es un profesor muy responsable y demasiado amable.
POSITIVE,Un profesor sobresaliente en su trabajo.
POSITIVE,Tiene buena disposicion para las explicaciones.
POSITIVE,la profesora demuestra determinación en sus explicaciones y su desempeño es excelente.
NEGATIVE,Es un maestro malisimo y no se da a entender no sabe dar clase y en su clase no se aprende mucho
NEGATIVE,considero que el profesor no sabe dar clases y es muy fastidioso.
NEGATIVE,Le falta ser mas tolerante con la entrada a su clase a la primera hora
NEGATIVE,En ocasiones no entiendo algunos términos hace falta darnos retroalimentación.
NEGATIVE,su método de enseñanza es antiguo necesita renovarse
NEGATIVE,Hay veces en las que muestra una actitud de enojo y nos insulta.
POSITIVE,Es incumplido en asistir a las clases y en su horario.
NEGATIVE,No avanza de una manera adecuada con el cronograma y eso es tedioso.
NEGATIVE,El profesor es algo irrespetuoso en ciertas ocasiones.
NEGATIVE,Se molesta cuando se le pide que explique algo importante de la clase.
POSITIVE,El maestro se exalta cuando recibe una opinión sobre su clase.
NEGATIVE,es prácticamente una persona incompetente para impartir clases.
NEGATIVE,Pésima maestra que no sabe escuchar a sus alumnos.
NEGATIVE,No respeta el reglamento ni a ningún alumno.
NEGATIVE,Nunca nos ha impartido una clase completa.
NEGATIVE,no tiene la capacidad de controlar al grupo completo.
NEGATIVE,Necesita tener mayor control con el grupo por medio de la asignacion de actividades.
POSITIVE,Es buena maestra. Sólo le falta aclarar las dudas mejor
NEGATIVE,en ocasiones se expresa mal hacia los alumnos.
NEGATIVE,Pierde el tiempo de la clase dando pláticas sobre su vida.
NEGATIVE,falta de compromiso con los estudiantes ya que no les interesa la clase.
NEGATIVE,falta de dinamismo en clase.
NEGATIVE,clase aburrida necesita dar materiar didáctico y utilizar todas las herramientas que la universidad le facilita
NEGATIVE,No conoce los temas que imparte no estamos aprendiendo.
NEGATIVE,Uno de los peores profesores de la universidad.
NEGATIVE,su pedagogía es muy pobre y no tiene experiencia.
NEGATIVE,El profesor debería de tener mayor disponibilidad para alumnos.
NEGATIVE,El profesor puede llegar a ser muy rígido y engreído.
POSITIVE,Buen profesor realizamos muchas dinámicas de aprendizaje en esta clase participamos mucho.
POSITIVE,Muy buen profesor siempre nos hace participar y nos ayuda cuando no sabemos algo en esta clase.
POSITIVE,clase muy activa gracias a que explica de manera clara y se participa mucho
POSITIVE,muy bueno se asegura que los estudiantes entendamos con ayuda de las prácticas en base a una buena teoría.
POSITIVE,Excelente profesor siempre fomenta la participación en clase.
POSITIVE,Es un profesor respetuoso y atento con todos los alumnos.
POSITIVE,Es un muy buen maestro no es monótono y pues es muy agradable su clase.
POSITIVE,Muy buen maestro ayuda al entendimiento de sus clases y da retroalimentación de los temas
POSITIVE,Fomenta mucho la participación de los alumnos y se asugura que aprendamos los temas asignados
POSITIVE,"Excelente profesor, sin duda uno de los mejores con los que cuenta esta institución"
POSITIVE,muy buen maestro sabe dar clases y aporta cada uno de sus conocimientos a los alumnos
POSITIVE,la clase es muy completa se interesa por el aprendidaje de los alumnos
POSITIVE,Muy buen profesor explica de manera clara y respeta horarios de clase
POSITIVE,Un buen maestro sin duda alguna tiene un dominio de la clase y del conocimiento del tema.
